Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.665      672.11295759],[ 0.50771547 47.4862852 ],[  7.         512.60665431],[  9.         781.44657878],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 4, 2, 15, 11, 5, 1, 8, 3, 18, 17, 7, 10, 12]","(7.0, 512.6066543062822)"
1,328,[  7.405      622.30499476],[ 0.49089205 29.44568349],[  7.         512.60665431],[  8.        666.6963449],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 4, 2, 15, 11, 5, 1, 8, 3, 18, 17, 7, 10, 12]","(7.0, 512.6066543062822)"
2,338,[  7.2575     593.13126166],[ 0.43725708 21.45197366],[  7.         512.04084152],[  8.         621.34946114],"[13, 12, 2, 6, 8, 20, 24, 1, 11, 4, 21, 16, 7, 25, 23, 22, 10, 17, 15, 3, 5, 18, 19, 14, 9]","(7.0, 512.0408415182061)"
3,332,[  7.195      572.90640365],[ 0.39620071 18.84453562],[  7.         478.06391162],[  8.         595.75779225],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 4, 2, 10, 11, 5, 1, 8, 3, 18, 17, 7, 15, 12]","(7.0, 478.0639116242465)"
4,344,[  7.0475     555.15825946],[ 0.21270578 17.98018943],[  7.         478.06391162],[  8.         573.54203815],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 4, 2, 10, 11, 5, 1, 8, 3, 18, 17, 7, 15, 12]","(7.0, 478.0639116242465)"
5,334,[  7.025      537.89701621],[ 0.15612495 16.36786571],[  7.         478.06391162],[  8.         557.06198273],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 4, 2, 10, 11, 5, 1, 8, 3, 18, 17, 7, 15, 12]","(7.0, 478.0639116242465)"
6,346,[  7.0025     524.22032147],[ 0.04993746 15.02596853],[  7.         474.14743186],[  8.         542.35705589],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 1, 2, 10, 11, 5, 4, 8, 3, 18, 17, 7, 15, 12]","(7.0, 474.1474318611245)"
7,344,[  7.         511.26595683],[ 0.         12.11278279],[  7.         474.14743186],[  7.         523.83744792],"[19, 16, 14, 9, 6, 13, 24, 22, 23, 25, 20, 21, 1, 2, 10, 11, 5, 4, 8, 3, 18, 17, 7, 15, 12]","(7.0, 474.1474318611245)"
8,348,[  7.         502.61753243],[ 0.         14.01710208],[  7.         471.49876236],[  7.         512.60665431],"[19, 16, 14, 6, 9, 13, 24, 22, 23, 25, 20, 21, 1, 2, 10, 11, 5, 4, 8, 3, 18, 17, 7, 15, 12]","(7.0, 471.49876235846006)"
9,332,[  7.         490.05417779],[ 0.        13.2802208],[  7.         471.49876236],[  7.         512.04084152],"[19, 16, 14, 6, 9, 13, 24, 22, 23, 25, 20, 21, 1, 2, 10, 11, 5, 4, 8, 3, 18, 17, 7, 15, 12]","(7.0, 471.49876235846006)"
